fid,LATITUD,LONGITUD,PROGRESIVA,Z
"1",-34.549768,-58.643817,0,18.03
"2",-34.5498146071932,-58.6436051837267,20.11,14.37
"3",-34.5498612140088,-58.6433933672701,40.23,13.89
"4",-34.5499078204468,-58.6431815506302,60.34,13.64
"5",-34.5499544265072,-58.6429697338068,80.46,12.85
"6",-34.5500010321899,-58.6427579168001,100.57,11.84
"7",-34.5500476374949,-58.6425460996101,120.68,11.1
"8",-34.5500942424224,-58.6423342822367,140.8,11.05
"9",-34.5501408469722,-58.64212246468,160.91,10
"10",-34.5501874511443,-58.64191064694,181.03,9.19
"11",-34.5502340549388,-58.6416988290166,201.14,8.14
"12",-34.5502806583556,-58.64148701091,221.25,7.52
"13",-34.5503272613948,-58.64127519262,241.37,7.01
"14",-34.5503738640564,-58.6410633741467,261.48,6.67
"15",-34.5504204663403,-58.6408515554901,281.6,6.33
"16",-34.5504670682465,-58.6406397366502,301.71,6.51
"17",-34.5505136697751,-58.640427917627,321.82,5.81
"18",-34.550560270926,-58.6402160984205,341.94,5.67
"19",-34.5506068716993,-58.6400042790308,362.05,5.58
"20",-34.5506534720949,-58.6397924594578,382.17,5.78
"21",-34.5507000721129,-58.6395806397015,402.28,8.4
"22",-34.5507466717532,-58.6393688197619,422.39,23.28
"23",-34.5507932710158,-58.6391569996391,442.51,17.01
"24",-34.5508398699007,-58.6389451793331,462.62,6.9
"25",-34.550886468408,-58.6387333588438,482.74,6.26
"26",-34.5509330665376,-58.6385215381713,502.85,7.05
"27",-34.5509796642896,-58.6383097173155,522.96,7.85
"28",-34.5510262616638,-58.6380978962765,543.08,7.97
"29",-34.5510728586604,-58.6378860750542,563.19,6.5
"30",-34.5511194552793,-58.6376742536488,583.31,6.55
"31",-34.5511660515206,-58.6374624320602,603.42,5.22
"32",-34.5512126473841,-58.6372506102883,623.53,5.22
"33",-34.55125924287,-58.6370387883332,643.65,5.21
"34",-34.5513058379782,-58.636826966195,663.76,5.27
"35",-34.5513524327087,-58.6366151438735,683.88,5.13
"36",-34.5513990270615,-58.6364033213689,703.99,5.03
"37",-34.5514456210366,-58.6361914986811,724.1,5.02
"38",-34.551492214634,-58.6359796758101,744.22,4.96
"39",-34.5515388078538,-58.6357678527559,764.33,4.9
"40",-34.5515854006958,-58.6355560295186,784.45,5.1
"41",-34.5516319931602,-58.6353442060981,804.56,4.98
"42",-34.5516785852468,-58.6351323824945,824.68,5
"43",-34.5517251769558,-58.6349205587078,844.79,4.87
"44",-34.551771768287,-58.6347087347378,864.9,4.8
"45",-34.5518183592406,-58.6344969105848,885.02,4.93
"46",-34.5518649498164,-58.6342850862486,905.13,4.85
"47",-34.5519115400146,-58.6340732617293,925.25,4.89
"48",-34.551958129835,-58.6338614370269,945.36,4.97
"49",-34.5520047192777,-58.6336496121414,965.47,4.96
"50",-34.5520513083427,-58.6334377870728,985.59,4.87
"51",-34.55209789703,-58.633225961821,1005.7,4.9
"52",-34.5521444853396,-58.6330141363862,1025.82,5.42
"53",-34.5521910732715,-58.6328023107683,1045.93,5.27
"54",-34.5522376608256,-58.6325904849673,1066.04,5.05
"55",-34.552284248002,-58.6323786589832,1086.16,5.08
"56",-34.5523308348007,-58.632166832816,1106.27,3.37
"57",-34.5523774212217,-58.6319550064658,1126.39,0.85
"58",-34.552424007265,-58.6317431799325,1146.5,0.65
"59",-34.5524705929305,-58.6315313532162,1166.61,-0.33
"60",-34.5525171782183,-58.6313195263168,1186.73,3.43
"61",-34.5525637631284,-58.6311076992343,1206.84,4.97
"62",-34.5526103476607,-58.6308958719689,1226.96,6.07
"63",-34.5526569318153,-58.6306840445204,1247.07,4.64
"64",-34.5527035155922,-58.6304722168888,1267.18,0.98
"65",-34.5527500989913,-58.6302603890742,1287.3,0.68
"66",-34.5527966820127,-58.6300485610767,1307.41,0.43
"67",-34.5528432646564,-58.6298367328961,1327.53,0.62
"68",-34.5528898469223,-58.6296249045325,1347.64,3.81
"69",-34.5529364288105,-58.6294130759858,1367.75,4.63
"70",-34.5529830103209,-58.6292012472562,1387.87,4.47
"71",-34.5530295914536,-58.6289894183437,1407.98,3.8
"72",-34.5530761722085,-58.6287775892481,1428.1,4.65
"73",-34.5531227525857,-58.6285657599695,1448.21,5.77
"74",-34.5531693325852,-58.628353930508,1468.32,5.76
"75",-34.5532159122068,-58.6281421008635,1488.44,6.57
"76",-34.5532624914508,-58.6279302710361,1508.55,7.07
"77",-34.5533090703169,-58.6277184410256,1528.67,7.41
"78",-34.5533556488053,-58.6275066108323,1548.78,6.85
"79",-34.553402226916,-58.627294780456,1568.89,6.88
"80",-34.5534488046489,-58.6270829498967,1589.01,3.1
"81",-34.553495382004,-58.6268711191545,1609.12,3.18
"82",-34.5535419589813,-58.6266592882294,1629.24,4.42
"83",-34.5535885355809,-58.6264474571214,1649.35,6.3
"84",-34.5536351118028,-58.6262356258304,1669.46,5.88
"85",-34.5536816876468,-58.6260237943565,1689.58,8.69
"86",-34.5537282631131,-58.6258119626998,1709.69,8.08
"87",-34.5537748382016,-58.6256001308601,1729.81,5.24
"88",-34.5538214129123,-58.6253882988375,1749.92,4.72
"89",-34.5538679872453,-58.6251764666321,1770.03,5.19
"90",-34.5539145612005,-58.6249646342437,1790.15,5.67
"91",-34.5539611347779,-58.6247528016725,1810.26,5.61
"92",-34.5540077079775,-58.6245409689184,1830.38,7.2
"93",-34.5540542807993,-58.6243291359814,1850.49,6.05
"94",-34.5541008532433,-58.6241173028616,1870.6,5.5
"95",-34.5541474253096,-58.6239054695589,1890.72,5.49
"96",-34.5541939969981,-58.6236936360734,1910.83,5.11
"97",-34.5542405683088,-58.623481802405,1930.95,5.4
"98",-34.5542871392416,-58.6232699685538,1951.06,1.65
"99",-34.5543337097967,-58.6230581345197,1971.17,5.54
"100",-34.554380279974,-58.6228463003028,1991.29,4.81
"101",-34.5544268497735,-58.6226344659031,2011.4,4.74
"102",-34.5544734191952,-58.6224226313206,2031.52,4.77
"103",-34.5545199882391,-58.6222107965553,2051.63,4.68
"104",-34.5545665569052,-58.6219989616071,2071.74,4.8
"105",-34.5546131251935,-58.6217871264762,2091.86,4.54
"106",-34.554659693104,-58.6215752911624,2111.97,4.63
"107",-34.5547062606367,-58.6213634556659,2132.09,4.6
"108",-34.5547528277916,-58.6211516199866,2152.2,4.68
"109",-34.5547993945686,-58.6209397841245,2172.31,4.76
"110",-34.5548459609679,-58.6207279480796,2192.43,4.88
"111",-34.5548925269893,-58.620516111852,2212.54,6.35
"112",-34.5549390926329,-58.6203042754416,2232.66,6.43
"113",-34.5549856578987,-58.6200924388484,2252.77,6.13
"114",-34.5550322227867,-58.6198806020725,2272.88,6.02
"115",-34.5550787872969,-58.6196687651138,2293,5.43
"116",-34.5551253514292,-58.6194569279724,2313.11,5.35
"117",-34.5551719151837,-58.6192450906483,2333.23,4.98
"118",-34.5552184785604,-58.6190332531415,2353.34,9
"119",-34.5552650415593,-58.6188214154519,2373.45,7.08
"120",-34.5553116041803,-58.6186095775796,2393.57,6.05
"121",-34.5553581664235,-58.6183977395246,2413.68,8.04
"122",-34.5554047282889,-58.6181859012868,2433.8,8.17
